id;en;fr;de
TXT_LANG_EN;ENGLISH;ANGLAIS;ENGLISCH
TXT_LANG_FR;FRENCH;FRANÇAIS;FRANZÖSISCH
TXT_LANG_DE;GERMAN;ALLEMAND;DEUTSCH
MENU_MAIN_PLAY;PLAY SOLO VS AI;JOUER SOLO VS IA;SOLO VS KI SPIELEN
MENU_MAIN_MULTI;MULTIPLAYER;MULTIJOUEUR;MEHRSPIELER
MENU_MAIN_MAPS;MAPS;CARTES;KARTEN
MENU_MAIN_PROFILE;PROFILE;PROFIL;PROFIL
MENU_MAIN_SETTINGS;SETTINGS;PARAMÈTRES;EINSTELLUNGEN
MENU_SOLO_TITLE;SOLO VS AI;SOLO VS IA;SOLO VS KI
MENU_SOLO_START;LAUNCH GAME;LANCER LA PARTIE;SPIEL STARTEN
MENU_MULTI_TITLE;HOST A GAME;CRÉER UNE PARTIE;SPIEL HOSTEN
MENU_MULTI_CUSTOM;JOIN A GAME;REJOINDRE UNE PARTIE;SPIEL BEITRETEN
MENU_SETTINGS;SETTINGS;PARAMÈTRES;EINSTELLUNGEN
UI_LANGUAGE;LANGUAGE;LANGUE;SPRACHE
UI_RESOLUTION;RESOLUTION;RÉSOLUTION;AUFLÖSUNG
UI_DEV_TEAM;DEVELOPMENT TEAM;ÉQUIPE DE DÉVELOPPEMENT;ENTWICKLERTEAM
BTN_LICENSES;USAGE LICENCES;LICENCES D'UTILISATION;NUTZUNGSLIZENZEN
BTN_MANUAL;USER MANUAL;MANUEL D'UTILISATION;BENUTZERHANDBUCH
BTN_GITHUB;GITHUB REPO;DÉPÔT GITHUB;GITHUB-REPO
BTN_TECH_DOC;TECH DOCUMENTATION;DOCUMENTATION TECHNIQUE;TECHNISCHE DOKUMENTATION
MENU_PROFILE;PROFILE;PROFIL;PROFIL
UI_STATISTICS;STATISTICS;STATISTIQUES;STATISTIKEN
UI_WINRATE;Winrate :;Taux de victoire :;Siegquote :
UI_AVERAGE_APM;Average APM :;APM Moyen :;Durchschnitts-APM :
UI_MATCHES;Matches :;Matchs :;Spiele :
BTN_LAST_GAMES;LAST 10 GAMES;10 DERNIERS MATCHS;LETZTE 10 SPIELE
BTN_LEADERBOARD;LEADERBOARD;CLASSEMENT;RANGLISTE
RANK_GRAND_MASTER;GRAND MASTER;GRAND MAÎTRE;GROSSMEISTER
BTN_LOGOUT;Log out;Déconnexion;Abmelden
UI_WELCOME_TITLE;Welcome Conqueror !;Bienvenue Conquérant !;Willkommen Eroberer !
UI_WELCOME_L1;Yesterday simple territories on a map.;HIER DE SIMPLES TERRITOIRES SUR UNE CARTE.;Gestern noch einfache Gebiete auf einer Karte.
UI_WELCOME_L2;Today a battlefield where every;AUJOURD'HUI UN CHAMP DE BATAILLE OU CHAQUE;Heute ein Schlachtfeld, auf dem jede
UI_WELCOME_L3;second counts.;SECONDE COMPTE.;Sekunde zählt.
UI_WELCOME_L4;Forge your empire, capture strategic;FORGEZ VOTRE EMPIRE, CAPTUREZ LES CAMPS;Schmiede dein Imperium, erobere strategische
UI_WELCOME_L5;camps and raise an army to;STRATEGIQUES ET LEVEZ UNE ARMEE POUR;Lager und stelle eine Armee auf, um
UI_WELCOME_L6;crush your rivals.;ECRASER VOS RIVAUX.;deine Rivalen zu vernichten.
MAP_GREEN_ISLAND;THE GREEN ISLAND;L'ÎLE VERTE;DIE GRÜNE INSEL
MAP_DESC_TEST;Here is some text and I add some to test, it is cool;Voilà du texte et j'en rajoute pour tester, c'est cool;Hier ist etwas Text und ich füge noch etwas zum Testen hinzu, es ist cool
MAP_CURSED_LAND;CURSED LAND;TERRE MAUDITE;VERFLUCHTES LAND
MAP_UNDEAD_LAND;UNDEAD LAND;TERRE DES MORTS-VIVANTS;UNTOTEN-LAND
MAP_GLOWING_LAND;GLOWING LAND;TERRE LUMINEUSE;LEUCHTENDES LAND
MAP_CAVE_LAND;CAVE LAND;TERRE DES CAVERNES;HÖHLEN-LAND
UI_LEVEL;LEVEL;NIVEAU;STUFE
UI_BACK;BACK;RETOUR;ZURÜCK
UI_MAP;MAP;CARTE;KARTE
AI_BEGINNER;BEGINNER;DÉBUTANT;ANFÄNGER
AI_INTERMEDIATE;INTERMEDIATE;INTERMÉDIAIRE;FORTGESCHRITTEN
AI_EXPERT;EXPERT;EXPERT;EXPERTE
BTN_LANG_TOGGLE;ENGLISH;FRANÇAIS;DEUTSCH
